1.0,2.0,4.0,8.0,12.0,16.0,20.0,24.0
0.000161,0.000178,0.000242,0.000335,0.001519,0.000461,0.003331,0.003283
0.000151,0.00016,7.70e-05,4.80e-05,4.10e-05,3.50e-05,0.002674,0.002783
0.000135,0.000119,6.90e-05,4.50e-05,3.90e-05,3.40e-05,0.002785,0.0028
0.000145,0.00012,7.30e-05,4.60e-05,3.20e-05,3.70e-05,0.002822,0.002735
0.00014,9.80e-05,7.00e-05,4.40e-05,3.80e-05,3.70e-05,0.002802,0.00267
0.000132,0.000139,7.20e-05,4.80e-05,3.80e-05,3.60e-05,3.90e-05,0.002537
0.000149,9.00e-05,6.90e-05,4.60e-05,3.50e-05,3.50e-05,3.00e-05,0.002578
0.000151,0.000118,7.10e-05,4.60e-05,3.10e-05,3.70e-05,3.00e-05,0.002653
0.000149,0.00012,7.00e-05,4.40e-05,2.90e-05,3.40e-05,3.10e-05,0.002687
0.000131,0.000124,7.30e-05,6.20e-05,4.00e-05,3.70e-05,3.20e-05,0.002671
0.000164,0.000118,7.20e-05,4.30e-05,3.90e-05,3.40e-05,3.20e-05,0.002775
0.000131,0.000131,6.90e-05,4.60e-05,3.70e-05,3.30e-05,3.30e-05,0.002662
0.000356,0.000122,7.00e-05,4.50e-05,4.40e-05,3.80e-05,3.10e-05,0.00276
0.000145,0.000135,6.80e-05,4.50e-05,3.80e-05,3.80e-05,3.10e-05,0.002658
0.000145,0.000126,7.20e-05,4.60e-05,3.90e-05,3.80e-05,3.00e-05,0.002651
0.000179,0.000119,7.20e-05,4.80e-05,3.90e-05,3.70e-05,3.20e-05,0.002673
0.000149,0.000122,6.70e-05,4.60e-05,3.00e-05,3.70e-05,3.30e-05,0.002905
0.000177,0.000142,7.30e-05,4.60e-05,3.90e-05,3.60e-05,2.90e-05,0.002907
0.000164,0.00013,6.50e-05,4.50e-05,3.80e-05,3.70e-05,3.00e-05,0.002872
0.00016,9.60e-05,6.70e-05,4.50e-05,4.00e-05,3.80e-05,3.00e-05,0.001818
0.00014,0.00011,6.60e-05,4.60e-05,4.00e-05,3.80e-05,3.30e-05,3.20e-05
0.000131,0.00012,7.00e-05,3.40e-05,4.00e-05,4.50e-05,3.10e-05,3.30e-05
0.00015,0.000125,6.70e-05,5.20e-05,3.80e-05,3.80e-05,3.30e-05,3.60e-05
0.000155,0.000121,7.00e-05,4.60e-05,3.80e-05,3.80e-05,3.30e-05,3.30e-05
0.000149,0.000125,7.00e-05,4.60e-05,3.80e-05,3.70e-05,3.20e-05,3.20e-05
0.000187,0.00011,8.60e-05,4.90e-05,2.90e-05,3.60e-05,3.30e-05,3.30e-05
0.000147,0.000124,5.40e-05,4.50e-05,3.90e-05,3.60e-05,2.90e-05,3.30e-05
0.000146,0.000108,5.10e-05,4.20e-05,4.00e-05,3.50e-05,3.30e-05,3.30e-05
0.000154,0.000125,6.60e-05,4.10e-05,3.90e-05,3.70e-05,3.10e-05,3.50e-05
